game,comment
Super Mario Bros.,"I got NSMB on Wii U, but didn't 100% it, and I haven't bought Luigi U. Is it worth getting it again for Switch? (Ignoring SMM2 by the way in this question)"
Super Mario Bros.,Toadette ftw!!🍄👗✊
Super Mario Bros.,"Guys, as desperate as you are please dont buy from Scalpers. Let them rot with their overpriced stuff and dont be a victim!


Do your research. Stay safe."
Super Mario Bros.,I will pick it up on my bday
Super Mario Bros.,"8 really, that standard for trash todays age"
Super Mario Bros.,For everyone saying why are they charging 60 dollars for it AGAIN i agree but nintendo did it because the wii u didn’t have enough people buying it which also caused less people buying mario bros u so they obviously decided to port it to switch for extra money from die hard fans and money from people who didn’t buy the wii u
Super Mario Bros.,"Why does Mario run like *SONIC* if u hold the run button. 

I swear I rage on this game"
Super Mario Bros.,downvoting the video just because it is IGN
Super Mario Bros.,"Question, the last 2d Mario game I played was new super Mario bro’s wii back in 2010. I loved it.. is this one better?"
Super Mario Bros.,Great review by this guy.
Super Mario Bros.,How are you reviewing something that has already been reviewed a few years ago wtf
Super Mario Bros.,"This game is so gorgeous. The level themes make it feel like SMB3. Glad we have this game, but I think the next Mario 2D platformer should break new ground. Something new. Maybe 2D version of Super Mario Galaxy or a new, unique land to explore or something."
Super Mario Bros.,I find this game way more fun if you play with family or friends. This brings back memories of playing co-op on Nintendo Wii. I enjoy it 9/10.
Super Mario Bros.,2/10 amazing difficulty
Super Mario Bros.,How amiibo card can be used in new Super Mario bros U deluxe
Super Mario Bros.,9/10 epic nostalgic game
Super Mario Bros.,I would buy it if it were $30 instead of $60!
Super Mario Bros.,can we get a remake of donkey kong 64 or a donkey kong odyssey
Super Mario Bros.,But does it have a little something for everyone?...
Super Mario Bros.,"""It has a little something for everyone"""
Super Mario Bros.,"i'm not a nintendo fans, but damn....no 2d or semi 3d sidescrolling adventure games better like Mario series....the creativity that nintendo had for this series is unlimited and amazing"
Super Mario Bros.,Who's looking at this for black Friday deal :) ?
Super Mario Bros.,The reason it didn't get a 9 was because it didn't have a little something for everyone.
Super Mario Bros.,"Which should I buy first for my switch:
Mario bros
Mario odyssey 
Mario smash bros 
Super Mario maker 2

Please help 😀"
Super Mario Bros.,It lowered in walmart
Super Mario Bros.,"6 out of 10 no NSMB Wii to Make an Exceptional Deluxe, Just The 2D versions from Wii U ports NSMB U and Luigi U, Not Deluxe Enough."
Super Mario Bros.,"This video is nitpicking and biased, bye bye I win"
Super Mario Bros.,What triggers me is the price
Super Mario Bros.,this is $15 game
Super Mario Bros.,"IGN, why do you compare a 3D game to a 2D game? Dumbasses."
Super Mario Bros.,0/10 blue toad is a costume
Super Mario Bros.,"yuck
2/10"
Super Mario Bros.,6/10
Super Mario Bros.,Same formula with better graphics?
Super Mario Bros.,I'm having a hard time choosing between this and Smash. Any suggestions?
Super Mario Bros.,ryman > mario now
Super Mario Bros.,Why didn’t they port New Super Mario Bros Wii along with U for this port? I wish they had done that.
Super Mario Bros.,Hmmmm......peachette vs pink gold peach
Super Mario Bros.,Multiplayer mode isn't mentioned. Can we play multiplayer?
Super Mario Bros.,I saw it in the electronic shop and was fascinated by it. I am not a gamer at all but I had a couple of game and watch back in the day. I ended up it buying it online. I guess it's a nostalgia thing for me.
Super Mario Bros.,"Very cool. I had no idea about Game & Watch until I filmed a video in Pune, India, where this guy had a massive collection from the 80s! Now I'm going to give it a go with this and gift it to my little nephew."
Super Mario Bros.,I just bought it I always wanted to get my hands on one of these I can't wait till it gets here
Super Mario Bros.,They should make a Pokémon one or metroid
Super Mario Bros.,I have one of these and I take it to school  And they are 100% OK with it
Super Mario Bros.,"I remember when the original game & watch games came out like in 1982. Loved them all, only had one that I can remember."
Super Mario Bros.,I'm gonna get this just to bring back memories for my mom (she played mario as a kid)
Super Mario Bros.,But it only has 3 games on it..? It's the first game and watch ever that has 3 games on it.. And these together actually have a lot of levels to play..
Super Mario Bros.,what about the original nes which you didint mention that i got a few month before this came out a i was 9 years old
Super Mario Bros.,"Not going to lie, bought the zelda and smb as a set for 70 and the big draw to me was the clocks which just are so fricking cool, heck the clocks are more of interactive and game like than the original game and watches that bore the super mario bros and legend of zelda games."
Super Mario Bros.,Oh man…this brings me back to grade school back in the 80’s. This was the THE gadget to be seen with and you were super cool if you had one! lmao.
Super Mario Bros.,Nintendo Game And Watch Google
Super Mario Bros.,"looks cool and nostalgic aesthetically, but those brick shaped controllers hurt my hands as a kid and also as an adult..."
Super Mario Bros.,If they made one Tetris themed take my money
Super Mario Bros.,Just left wal-mart...they had 12 for 75% off. Grabbed them all.
Super Mario Bros.,When I get this im gonna bring it to school
Super Mario Bros.,I know the PlayStation five is selling like crazy and same with the Xbox series X but this is the real best console of the 9th generation Not only can I play it when I’m in the toilet but I don’t need to hook it up to anything best console of all time
Super Mario Bros.,I have it
Super Mario Bros.,"Glad I watched this.. Like yourself I have fond memories of the original ""Game & Watch"" handhelds...   Glad because as the 35th anniversary title would suggest. It's not what I'm looking for.... I'm only after original boxed versions from the early 80's.  Similar to Hornby.. I couldn't give a toss about modern copies."
Super Mario Bros.,They could've put SMB3 and other GAWs on there.
Super Mario Bros.,Got one.    Keeping it sealed.    Got the games on my PS Vita.
Super Mario Bros.,I know of a guy in NY that bought like 10 of these and had them on sale for 200 usd each. Talk about a scammer
Super Mario Bros.,Game & Watch has been an enjoyable experience so far for myself
Super Mario Bros.,"In case anybody's curious he said ""cute"" 6 times."
Super Mario Bros.,"Switch was THAT big of a failure that Nintendo had to make another handheld to sell, because Switch isn't selling?? DAMN!"
Super Mario Bros.,If only they had just added SMB3 it would've been perfect.
Super Mario Bros.,I wish they had the alarm
Super Mario Bros.,Nintendo making it just 3 games they call it a day
Super Mario Bros.,Just call it game and stare since you just stare at the clock
Super Mario Bros.,As a mario fan that hes mom is a mario fan when shes kid  id like to buy that well i got it
Super Mario Bros.,I wonder if u can mod it to run other games.
Super Mario Bros.,"TOO MUCH BLAH BLAH, YOU NEVER TOLD US THE SCREEN IS COLORED. IT WAS NOT COLORED BEFORE."
Super Mario Bros.,"My wife just said, game and watch what?"
Super Mario Bros.,Didn't the Gameboy micro copy the game and watch look first?
Super Mario Bros.,I had one that had a transparent screen like a window pane where you could look through and see what's behind it. Unfortunately I lost the device. I guess it's an expensive collector's item today.
Super Mario Bros.,I took the time to purchase it from Wal-Mart online and I'm looking to open it once delivered.
Super Mario Bros.,Is it good as a christmas gift?
Super Mario Bros.,GHE WATCH
Super Mario Bros.,ماريو كلاسيك 😵‍💫❤️‍🔥
Super Mario Bros.,"Stupid little device to make few extra dollars, nintendo's mindset."
Super Mario Bros.,YES to a game and watch black and white compendium !!!
Super Mario Bros.,Just purchased this today at a brick and mortar target.
Super Mario Bros.,Some of the games came with a metal holder that you could click out so the game could stand. I wish this game had that so you could put it on a shelf showing the clock
Super Mario Bros.,They should have put Mario Bros 3
Super Mario Bros.,That's 50 dollars usd?!? I live on California and that think cost 120 dollars usd in target and Walmart
Super Mario Bros.,ma posso usare uno spinotto di caricabatterie per Samsung e poi collego li il cavo che c'è in dotazione con la scatola o devo avere per forza uno spinotto Nintendo
Super Mario Bros.,Шевчук блять😆
Super Mario Bros.,I have one of those
Super Mario Bros.,I really like handheld consoles cuz bringing them to school but im too scared for my switch so this will help a lot
Super Mario Bros.,"Nintendo is still a thing?  I found this video when looking for a way to play old Mario games on my PS5. Stunned Nintendo still exists, 🤯"
Super Mario Bros.,The game and watch is not new they just brought it back out in 2020  it originally came out in the 90s
Super Mario Bros.,If i had 100$ will i buy this for 50$?
Super Mario Bros.,"Love the channel, been watching you for years but there's a super Mario game and watch already, the old blue one, you member!!"
Super Mario Bros.,real question is … can you hack it ?
Super Mario Bros.,2:52 what game is that?
Super Mario Bros.,2:52 what game is that?
Super Mario Bros.,"I had theese back in the 80s and loved them :) When I got the new one in my hand I was a bit dissapointed. First of all. The screen is smaller than they used to be (why not the ""widescreen""). Secondly the plastic seems lighter and cheaper. Even the buttons feels cheaper (They were softer before). The clip is missing too on the backside. My favourite from the 80s were ""fire attack"". But that one is considered too ""stereotype"" today so they will not make it. Also the old ones was LCD games. Not the kind of ""modern"" gameplay as this."
Super Mario Bros.,I'm only here to watch a review because i have a high chance of getting one for 2 pound on ebay UK currency. And it's 40 at usual stores
Super Mario Bros.,It looks like a good or alright game. But I believe it cost too much. 59.99 is way too high for that. I'm sorry my opinion.
Super Mario Bros.,“You don’t need this thing”….shush your mouth!  My wife isn’t listening right now.
Super Mario Bros.,now u can get link
Super Mario Bros.,Whoa...big bugman.
Super Mario Bros.,"The Game & Watch _had_ Super Mario Bros. Both in the new widescreen and the crystal screen versions. And that game's sadly missing on this G&W release. :( It'd have been the much better G&W game to include instead of ""Ball""."
Super Mario Bros.,I don’t need it. But I want it.
Super Mario Bros.,I never playing game and watch but do I had switch but might steel get this one. Cause I love retro old 80s like I got still got gameboy pocket yellow versions and also got ds
Super Mario Bros.,Just bought one today
Super Mario Bros.,I have one. To
Super Mario Bros.,"Can’t take my switch to work, I can with this."
Super Mario Bros.,"It’s 30 dollars here, I might get one."
Super Mario Bros.,I just bought it today thru online
Super Mario Bros.,"It's these type of devices that really work for me. While I have a Switch and utilise the NES collection on there (and the classic) at least a few times a week, I will always opt to use my original NES and the cart (for the games that I do have) because it's mono-focused. That is, I don't have a massive range of options, I just have the game and I find a lot more enjoyment and immersion that way. I'm going to pick one up right now online in fact."
Super Mario Bros.,"Now that they have the red and gold one for Mario, and the green and gold one for Zelda, I hope next year they do one for Metroid. Maybe make it purple and silver?"
Super Mario Bros.,They need to make a Pokémon game and watch
Super Mario Bros.,it's a pretty cool dust collector.
Super Mario Bros.,Actually the Pokémon mini is the smallest Nintendo system
Super Mario Bros.,700$
Super Mario Bros.,"I don't think the word ""watch"" in this case means clock. ;)"
Super Mario Bros.,"Stupid idea by Nintendo. Tiny little screen, no alarm, expensive, & just a game that we can all play anywhere else for free if you already own a copy or digital! How about a mini (N64)?!! That would make ton of sense, Nintendo!"
Super Mario Bros.,"if they started dropping game and watches of NES games, I would 100% start collecting these. Yeah I can  play them on the switch, but the switch still isn't a game and watch. they fit a different niche. People are willing to buy amiibos and they barely do anything besides look cool and give you items in games."
Super Mario Bros.,I remember when I was a kid and had the OG Game & Watch Black & White LCD games from the early 1980’s.
Super Mario Bros.,I got wanna theses and the handheld feels like a piece of jewelry
Super Mario Bros.,It would have been cool if it had super mario 3 too
Super Mario Bros.,It is Apollo good
Super Mario Bros.,"It's kind of neat, but also a waste that nice screen will only ever see Mario 1. If Nintendo added more memory and changed the look, they could make a great GBA Classic mini."
Super Mario Bros.,Noo you just teared 660000 usd 🤣
Super Mario Bros.,I'd pay good money if they make a handheld with all the old school street fighter games 💸
Super Mario Bros.,"I bought it!

and I love it!

Very retro haha!"
Super Mario Bros.,Thank you for the review poindexter.
Super Mario Bros.,"I Loved This Thing When I Got It! Though It Was Disappointing For It To Only Have 3 Games, One Of Them Is a Remake Of Ball, It's Still Awesome! Sadly, This Thing Won't Be Avaliable Forever Which Is Very Sad Because This Is Something People Would Want, But Nintendo Is Giving Us a Time Limit To Get It Or We'll Miss It"
Super Mario Bros.,Can I have half of your hair?
Super Mario Bros.,Got one for my 8yo ASD kiddo who is obsessed with classic super mario bros. This was *perfect* and what a great tribute; a classic wrapped in a classic.
Super Mario Bros.,"My child within says; Get it, get it now, pronto"
Super Mario Bros.,Super fruatrating. Not a single clear 360 shot of the console:( or a presentation
Super Mario Bros.,Only 3 games? Wtf
Super Mario Bros.,Horribly overpriced for 3 games.  Come on Nintendo.
Super Mario Bros.,"""The game and watch never had Super Mario Bros"" you need to do some research, back in 1986 there was a Super Mario Bros unit released, they're called ""Game And Watch"" because it has a game and it's a watch, just because you don't wear it on your wrist doesn't mean it's not a watch, it's a time piece non the less, I'm guessing you're around 40? It would seem you never got to experience Game and Watch in it's original release in 1980, for those of us who did, this release is a very exciting thing."
Super Mario Bros.,A watch?..but where’s the strap?
Super Mario Bros.,I'm buying one I'm in Trinidad and Tobago and a Nintendo switch in a game store cost 1300 online costs 1000 but this for 50 dollars online it will cost 350 so I got that going for me.
Super Mario Bros.,I have it the graphics and screen looks expensive amazing brilliant and sounds just like the original game
Super Mario Bros.,"50 years from now, this will be worth at least $100. I better go buy one"
Mario Kart Wii,My childhood favorite racing game!
Mario Kart Wii,Came here as an active online 2023 MKW player to see what they got right and what they got wrong
Mario Kart Wii,"3:20 Fourteen years later, Mario Kart finally got an item editor."
Mario Kart Wii,"This is the most dogshit mariokart I’ve ever played. Genuinely horrible

(Joke)"
Mario Kart Wii,The video looks great being from 2008 and at 480p.
Mario Kart Wii,I’ll stick to NHL Slapshot
Mario Kart Wii,hi
Mario Kart Wii,Very nice review.
Mario Kart Wii,nostalgia
Mario Kart Wii,Who else came back here in 2021
Mario Kart Wii,Happy Early 13th BDAY to Mario Kart Wii
Mario Kart Wii,lol
Mario Kart Wii,Game still alive. Mariokart ctgb
Mario Kart Wii,I don't like racing games in general but I loved this one and I still have it!
Mario Kart Wii,Hello again!
Mario Kart Wii,This was in my recommended and I’m not even mad 😭
Mario Kart Wii,"nintendo switch jogos
mario kart 2008"
Mario Kart Wii,"Professionally and casually, I thoroughly enjoyed this game. If you didn’t, Mario Kart isn’t the game for you and you don’t have friends."
Mario Kart Wii,It's not supposed to be the best Mario kart game on paper but it is after playing it.
Mario Kart Wii,"“Will piss off competitive players.” Yea sure pal, as if we don’t still play in 2020"
Mario Kart Wii,Who's here because of 2020 quarantine and is broke to buy a ps5
Mario Kart Wii,Who's here in 2020
Mario Kart Wii,2:16 sorry i dont speak wrong
Mario Kart Wii,Got this recommended 12 years later wtf
Mario Kart Wii,Still a great game to play today!
Mario Kart Wii,Why was this recommended to me after 12 years
Mario Kart Wii,Can't wait for this game to come out!!!
Mario Kart Wii,"Mariokart wii comes out: it's okay
Breath of the wild comes out: mariokart wii has a better open world"
Mario Kart Wii,Ah 2008 when people actually used karts
Mario Kart Wii,2:20 he said bikes and karts were both balanced
Mario Kart Wii,I miss playing Mario kart wii online. 😭
Mario Kart Wii,The old IGN
Mario Kart Wii,I can’t believe I unlocked all the characters when I was younger
Mario Kart Wii,"Ign owned gamespy, the company that hosted nintendo wfc."
Mario Kart Wii,glad this is in my recommendations
Mario Kart Wii,"1. Mk wii
2. Mk dd
3. Mk 7"
Mario Kart Wii,"Can’t believe there are others who hate this Mario Kart. Wii is not only the best game in the series, it’s the best racer and one of the best games ever made."
Mario Kart Wii,sounds like this game isnt worth playing at all on 150cc and above because of the impossible AI
Mario Kart Wii,This game deserves a remake
Mario Kart Wii,2:16 Lmao bikes are much better
Mario Kart Wii,2019 will make 11 years I been subbed to IGN 💪🏾❤️🥰
Mario Kart Wii,this review is old
Mario Kart Wii,"2:16
...
Lol"
Mario Kart Wii,Dang..... this game is over 10 years old.... still the best Mario Kart in my opinion
Mario Kart Wii,2018 anyone?
Mario Kart Wii,"Dumbest Mario Kart game ever!!

I am 24 years old and I cannot unlock anybody besides King Boo, Rosalina, and Diddy Kong."
Mario Kart Wii,Well who’s here in 2018?
Mario Kart Wii,Most of my childhood was spent playin this one game it means so much to me
Mario Kart Wii,Mario kart wiis online is better then offline?
Mario Kart Wii,Neither bikes or carts overpower each other? Really?!
Mario Kart Wii,“Checkout mario kart wii” I could if my disc wasnt scratched
Mario Kart Wii,I am here form a nmead video
Mario Kart Wii,2018
Mario Kart Wii,Who's here in 2018?
Mario Kart Wii,This review is by the same guy who did that amazing ninjabread man review!
Mario Kart Wii,This and Mario Kart DS are the best Mario Karts to date!
Mario Kart Wii,I found a working copy of this game in a desk downstairs. Thought I lost it!
Mario Kart Wii,I got this game when i was 7. I beat 150cc first week
Mario Kart Wii,"150cc is hard, hah. Good one IGN. This review surprisingly still holds up (to an extent) today."
Mario Kart Wii,"This video made me wanna play MKWii again. Then I realised that sad moment when the race I was in at the time, online, suddenly stopped, and Nintendo WFC was never to be seen again."
Mario Kart Wii,Why am I watching this? It came out NINE years ago.
Mario Kart Wii,I have to give this game a perfect 10/10! It's my favorite game in the series!
Mario Kart Wii,2018 anyone? Happy 10 year anniversary for this game 😄
Mario Kart Wii,"When you play the game a lot, it's not that hard. Especially if you play on wiimifi, you need to be good at the game. Mkwii= 98/10"
Mario Kart Wii,Who still plays this? *Me* ( ͡° ͜ʖ ͡°)
Mario Kart Wii,Bad Review srysly
Mario Kart Wii,You never talked about op characters like rosalina and funky kong
Mario Kart Wii,prob 7
Mario Kart Wii,lol i beat 150cc when i was like 7
Mario Kart Wii,150cc is hard?Even 200cc isn't that hard...
Mario Kart Wii,"Pffft, 150cc is easy. Obviously, it's not going to be as easy as 50cc, I mean, what did you expect? It's supposed to be a challenge, but it's nowhere near impossible. Also, for that part where you were saying that there were balancing issues in a 2 player race, you are completely wrong. The cloud isn't a 2nd place item, in fact, it's usually found near the middle-end part of the pack, and although it may electrocute you in the end, it gives you a boost before it does. So in all, I think there were some flaws in your review. 

I give your review 7.8/10
Not enough kart."
Mario Kart Wii,I'm still playing this game lol
Mario Kart Wii,Halsey St
Mario Kart Wii,Who remembers this gem of a game
Mario Kart Wii,it not about the graphics it about the gameplay like if you agree
Mario Kart Wii,I still love this game even its old this game is not dead yet
Mario Kart Wii,"Multi player is amazing now, we have hackers and...... no multi player"
Mario Kart Wii,150cc isn't that hard
Mario Kart Wii,"A game that made my child hood 10000000 times better, especially the online which unfortunately shut down"
Mario Kart Wii,Who's watching this in 2017?
Mario Kart Wii,Mario Kart before the character roster turned to crud.
Mario Kart Wii,who's here in 2017
Mario Kart Wii,The online has a lot of FTW hackers
Mario Kart Wii,"150cc hard to play? Sounds like a personal problem.

Pleb better Git Gud, cause this is sad"
Mario Kart Wii,mirror mode was the hardest for me
Mario Kart Wii,To this I say HA
Mario Kart Wii,Good old times (;
Mario Kart Wii,Everyone who says r.i.p mkwii no online go to Mrbean35000vr and there is a tutorial of how to get custom tracks as well as that online with normal tracks and custom tracks!
Mario Kart Wii,"mk8 is better but having played it a lot something was missing.
For pure gameplay there is something about this one which gives it the edge.
MK8 just feels a bit over polished"
Mario Kart Wii,WFC is back dont worry guys do not worry mkwii memories are back lets get loads of people to get online again it would be amazing!
Mario Kart Wii,people have gone to mario kart 8 now mkwii is well better in my opinion the graphics of mk8 are well better but mkwii is much more fun has a lot of great memories online was unbelievable i play this game everyday and i always will do even though i completed everythink i have online back loads of people go back on online wiimmfi so fun and just an amazing game overall
Mario Kart Wii,This game is by far the best mario kart wii to be honest i dont think they can make one better so much to do so much fun espicially online which i still have you can still get online using wiimmfi look it up on youtube and google and you can get it back so simple and easy!
Mario Kart Wii,Mario Kart Wii is my favorite mario kart game
Mario Kart Wii,"to me, one of the worst MK games ever. Should have looked more like Mario Kart Arcade"
Mario Kart Wii,Alright. Great.
Mario Kart Wii,Sorry but this looks so bad comparing to Mario Kart 8
Mario Kart Wii,This is truly one of the best games nintendo has every made.
Mario Kart Wii,this game is awesome
Mario Kart Wii,7.8/10 Too much kart
Mario Kart Wii,I managed to do 150cc. I did go through some serious torture porn with the AI but it's a lot of fun. But I'm pissed that they took down WFC. But in the end I think it's time for our family to upgrade to a Wii U. So we can play Mario Kart 8 and get new games for the TV room as Nintendo systems are our family systems. 
Mario Kart Wii,"15:44 There are hints of the old style battle mode returning with Tour, plus your able to use items after you’ve been knocked. While still timed, it’s about a five minute long so you’ll easily finish a battle in time."
Mario Kart Wii,"I absolutely *love* MK wii the most out of any in the series, but I don't think it's the best. This was a great analysis on it. I was just playing it recently and OMG THE BLUE SHELLS I KNOW"
Mario Kart Wii,6:55 Because I like Wario more
Mario Kart Wii,"Dude I NEVER KNEW the automatic and manual was about drift until today.......and I'm 22 years old........

I NEVER even seen the logo in the corner until today.........you just really undid my whole childhood theory on those automatic and manual options......."
Mario Kart Wii,Wait…THERE’S A DIFFERENCE BETWEEN KARTS AND BIKES?!??
Mario Kart Wii,"Despite me disagreeing with some of the points made in this video, this is a very fair video. I am in the camp of being nostalgic for this game. This is also my favorite mk. I do admit, however, that it is not for everyone and there are flaws to the game. People just prefer different things. Thanks for the review! Very good and fair. 👍"
Mario Kart Wii,The Giga chads who are competitive but also grew up with mkwii: time it break the world record for longest number of blue shells in a race. (Gets 20 blue shells in one race on n64 bowsers castle)
Mario Kart Wii,"I really don't like DK summit, because of the pink snow, skiing shy guys, and also whenever i see a skiing mountain it makes me have flashbacks   to the HTF short called ""Ski ya don't wanna be ya""."
Mario Kart Wii,he think the game is bad. grrrr
Mario Kart Wii,"Silok: ""I am not very good with bikes.""
Also Silok: *Falls off on Rainbow Road... You know... The track where bikes are useless...*"
Mario Kart Wii,😅 You DO lose points in ballons battle
Mario Kart Wii,I never actually got the game until just recently i bought nintendo wii and well i gotta say it’s my least favourite mario kart game
Mario Kart Wii,"Idk if u didnt play this game enough or smth, it doesnt take long for u to charge the drift, u just have to smash left and right and if u do it fast enough u get almost insta boost. U are missinformating mate"
Mario Kart Wii,"In my eyes, this or MK64 takes the cake for worst MK ever. Apparently it is NOT usual that you lose your very ITEM at each barrage and bombardment you receive. My experience, however, was that I motherfucking did. I hate the steering, I hate that I lost my items on most hits I took. Fuck. This. Game."
Mario Kart Wii,Is it still worth buying when I already own Double Dash and Mario Kart 8 Deluxe? What do you think?
Mario Kart Wii,thank god the days of the waluigi + wiggler + roller wheels came to an end on mario kart 8 deluxe after years of torture
Mario Kart Wii,You're talking to fast for me
Mario Kart Wii,You are just bad.
Mario Kart Wii,"What always held this game back was how chaotic it is. For example, you got mario Kart's video and 9 freaking blue shells, and mario Kart wii does come down to luck and not skill"
Mario Kart Wii,As a mk wii player i honestly feel babysat playing any other mk game because of how harsh the game i grew up with was.
Mario Kart Wii,"I just...honestly can't think of anything that Mario Kart 8 did better than this game other than visuals. I'm sorry, but this one just has much better controls, especially with the bikes...bikes and karts actually felt like they played differently. Wii has the way better new courses, and as busted as the items can feel in this game, 8 is even worse in that regard because red shells are beyond overpowered and take zero skill. Mario Kart 8 encourages spamming power items immediately while Wii encourages using them strategically. To me it's not the same as Melee because while Melee may be the most technical, it is way harder for a new player to get into than the newest game due to the controls, while this game actively controls better than its successor and it's easier to find a combination that works for you. For all the criticisms you listed that sound legitimate, I felt that you did some cherrypicking to make things appear worse in this game, especially with the items and steering.
 
I don't hate Mario Kart 8, but while I appreciate a lot of the effort that went into its presentation, I find this game to play much more fun and would recommend it first to any new player unless they were extremely young/casual to the point where the auto steer stuff would be necessary"
Mario Kart Wii,21:04 HEY TROY!!!
Mario Kart Wii,"17:12  Splatoon in a nutshell. Thats why I've come to regret ever playing it. It's just an inherent flaw with team based games, so yeah it really does suck when you dont have a choice."
Mario Kart Wii,"Something dumb about the POW block, is that since this game can be played with a gamecube controller, every action (including shaking) is mapped to a button. Now, instead of dodging it very easily, all you have to do is mash all of the D-Pad buttons as soon as you see the POW appear and get out scot-free."
Mario Kart Wii,"Finally, someone not saying this game is the best game to ever be made. I have a lot of problems with this game, like how many items and hazards make you lose your item, and the rubber-banding AI making 100% completion painful, but I do still believe that its a good game and the 2nd best mario kart game I've played, with the 1st being 8 Deluxe."
Mario Kart Wii,"I often play VS mode with 150cc and easy CPU's. Sometimes, I even end up 2nd place or worse thanks to the spiny shell bombardment. Also I agree with the overuse of the bloom shader. I also never had fun playing Coin Runners since for some reason, there are POW blocks, which hits EVERYONE in a team, which can basically decide the game. Team VS also sucked because it's mostly luck if you got decent team members.
 
But man, I had such a nice time with that game, it's almost nostalgic for me. The character roster was pretty good, besides the extra babies. I also love that Peach, Daisy & Rosalina got nice looking racing suits when using bikes. Also playing as your Mii was pretty nice, at least you're not forced to wear a helmet. Also, you got to see the characters celebrating on a podest after the VS or Grand Prix, where in any other Mario Kart after Wii, you just see a trophy, the stats and that's it."
Mario Kart Wii,to be honest the tracks for this mode are some of the best in any mariokart game but the mechanics suck for this battle mode
Mario Kart Wii,"This game was great. I played this game a lot as a kid,  it I never finished it.. still really fun though!"
Mario Kart Wii,"I think one problem I have with the items is trying to unlock the characters, like getting 1 star for every grand prix on a certain cc is pretty annoying"
Mario Kart Wii,I only played Mario kart ads and 8
Mario Kart Wii,"Mega Mushroom, POW Block and Thundercloud NEED to return in a next Mario Kart. Of course with a rework"
Mario Kart Wii,Put in 2x speed. . . it’s worth it
Mario Kart Wii,Exma was here 🍞🍞🍞
Mario Kart Wii,Arrgghhh I'm disagreeing and not listening to your well-explained reasoning
Mario Kart Wii,Ayyyyyy! I draw tracks too!
Mario Kart Wii,"14:11 No offense here but I’m just here to correct something.
The bloom effect is visible here because of how emulation works, on actual Wii Hardware the bloom effect isn’t really visible. How do I know? I’ve been playing this game on emulator and real hardware."
Mario Kart Wii,Honestly the best part i remember from wii was hunting character unlocks since there were so many with a lot of different conditions to get them actually looking up what i needed to do and trying to get them was a lot of fun.
Mario Kart Wii,U forgot to bring up ultra shortcuts which I feel like is a very big part of the game
Mario Kart Wii,just get gud
Mario Kart Wii,"A huge fan of this game, but I like all your points. None of them are a dealbreaker to me, but nothing gets better unless we give constructive criticism"
Mario Kart Wii,"When me and my siblings first played the game and we got to the manual and automatic screen for drifting, we thought automatic meant the car goes for you and you didn’t have to press the acceleration button. Good times good times😂"
Mario Kart Wii,so I am the zoomer you were talking about as this was the first game I really played and my childhood. And yes the wii wheel is kinda strange but it helped my mom play this game so I like them. also I love you used TWD98 footage as I love watching him.
Mario Kart Wii,"this game is pretty darn overrated to me
why do people think it's amazing

it is  great, but not a S tier game
A+ for me"
Mario Kart Wii,"25:50 “ how bad can it be?” 

Reminds me of the ending to Wreck-It Ralph"
Mario Kart Wii,"A comment on the blue shells, I rarely get them but when I notice this they always come, 

“I haven’t been hit with a blue shell In ages”

Nintendo: “ok here’s 4 of them in the span of 2 minutes”"
Mario Kart Wii,I’d much rather the baby characters than the Mario skins
Mario Kart Wii,L
Mario Kart Wii,"Double Dash will always be my favorite. The game is so snappy, the kart suspension and bounce gives a really smooth and authentic feel as well as creating a bit of chaos, the colors and textures are vibrant and sharp, the drift is so smooth, mini turbo really feels like a boost, the slidy wall impact mechanic makes for a smoother experience, character-unique items were an awesome touch, almost all tracks are bangers. Such a legendary game"
Mario Kart Wii,🍄🏎️💨
Mario Kart Wii,u dont need a modded wii to use online i was able to do it a week ago without modding my wii
Mario Kart Wii,i think karts should have had the ds styled miniturbos while the bikes have the new drift style but also have wheelies
Mario Kart Wii,I honestly feel like Mario Kart Wii was the most difficult Mario Kart. Mario Kart DS and 8 are so much easier imo.
Mario Kart Wii,"The ""terrible"" item balancing is exactly why so many people have such fond memories of MK Wii. Sure, it's frustrating if you're trying to 100% the game (which still isn't THAT hard), but when you're with friends it's hilarious. It's also what makes the game so appealing to players of all skill levels, where a tryhard can get taken down a peg while a newcomer wins it all."
Mario Kart Wii,Unpopular opinion: this is my least favorite 3D Mario Kart game.
Mario Kart Wii,"You don't lose points for losing balloons? I don't know what you did differently from me, but I always lose a point for losing all my balloons. Of course, if you personally don't have any points, you can't lose any, just like in the example you showed. That point of criticism isn't valid, because it's not true, sorry."
Mario Kart Wii,When I was a kid I had Mario Kart 8 on the Wii U. However my cousins had a Wii with Mario Kart Wii so I got to play it and I was surprised that it had some of the same tracks just different themes.
Mario Kart Wii,"To just play online you don’t have to do any modding, just typing in some settings in the Wi-Fi settings. Ctgp does require modding but it’s still nothing crazy"
Mario Kart Wii,14:00 Have you even tried the GCN Rainbow Road?
Mario Kart Wii,Dude have you played a modern Pokémon game? Gen 3 kidders have literally fit all the modern feature into games now. GF is such a lazy studio I genuinely prefer ROM HACKS over official releases
Mario Kart Wii,Bro get good
